name,ring,quadrant,isNew,description,,,,,,,,,,,,,,,,,,,,,
Chaos Engineering,Assess,Techniques,TRUE,Chaos engineering is the discipline of experimenting on a software system in production in order to build confidence in the system's capability to withstand turbulent and unexpected conditions.,,,,,,,,,,,,,,,,,,,,,
Zero-Trust Architecture,Adopt,Techniques,TRUE,ZTA is a paradigm shift in security architecture and strategy. Its based on the assumption that a network perimeter is no longer representative of a secure boundary and no implicit trust should be granted to users or services based solely on their physical or network location. ,,,,,,,,,,,,,,,,,,,,,
Pipelines for infrastructure as code,Adopt,Techniques,TRUE,"The use of pipelines for infrastructure as code lets you find errors before changes are applied to operational environments — including environments used for development and testing. They also offer a way to ensure that infrastructure tooling is run consistently, using CI/CD agents rather than individual workstations.",,,,,,,,,,,,,,,,,,,,,
Terraform,Trial,Tools,TRUE,"Terraform, is rapidly becoming a de facto choice for creating and managing cloud infrastructures by writing declarative definitions.",,,,,,,,,,,,,,,,,,,,,
Kubernetes,Trial,Platforms,TRUE,Kubernetes has become the container orchestration platform of choice for major public cloud platforms.,,,,,,,,,,,,,,,,,,,,,
Pulumi,Assess,Platforms,TRUE,"Pulumi distinguishes itself by allowing configurations (for Infrastructure as Code) to be written in TypeScript/JavaScript, Python and Go — no markup language or templating required. Pulumi is tightly focused on cloud-native architectures — including containers, serverless functions and data services — and provides good support for Kubernetes. ",,,,,,,,,,,,,,,,,,,,,
Observability as code,Assess,Techniques,TRUE,"Traditionally, configuration of monitoring dashboards and setting up alerts is done through GUI-based point-and-click systems. This approach leads to nonrepeatable dashboard configurations, no ability to continuously test and adjust alerts to avoid alert fatigue or missing out on important alerts, and drift from organizational best practices.",,,,,,,,,,,,,,,,,,,,,
The three Rs of security,Trial,Techniques,TRUE,"The three Rs of enterprise security — rotate, repair and repave — take advantage of infrastructure automation and continuous delivery to eliminate opportunities for attack. Rotating credentials, applying patches as soon as they're available and rebuilding systems from a known, secure state — all within a matter of minutes or hours — makes it harder for attackers to succeed.",,,,,,,,,,,,,,,,,,,,,
"""Handcranking"" of Hadoop clusters using config management tools",Hold,Techniques,TRUE,"""Handcranking"" of Hadoop clusters happens when using config management tools such as Ansible, Chef and others. Although these tools are great at provisioning immutable infrastructure components, they're not very useful when you have to manage stateful systems and can often lead to significant effort trying to manage and evolve clusters using these tools.",,,,,,,,,,,,,,,,,,,,,
In-house services,Hold,Techniques,TRUE,In-house services usually are cheaper and give more features than managed services. However this come with more management overhead. Consider moving to managed services rather than deploying and managing ourselves,,,,,,,,,,,,,,,,,,,,,
AWS,Adopt,Platforms,TRUE,AWS is still the best cloud platform around for our purposes.,,,,,,,,,,,,,,,,,,,,,
AWS Cloud Development Kit,Trial,Platforms,TRUE,"Like Pulumi, it allows Infrastructure as Code using existing languages",,,,,,,,,,,,,,,,,,,,,
Elastic Search,Adopt,Platforms,TRUE,ElasticSearch is a good SIEM tool. Its monitoring capabilities are improving with time.,,,,,,,,,,,,,,,,,,,,,
Infrastructure As Code,Adopt,Techniques,TRUE,Infrastructure As Code means defining and treating the infrastructure like software.,,,,,,,,,,,,,,,,,,,,,
Automated deployment pipeline,Adopt,Techniques,TRUE,Pipelines allow the visualization of otherwise complex chains of build and deployment activities.,,,,,,,,,,,,,,,,,,,,,
Separate DevOps team,Hold,Techniques,TRUE,"We recommend embedding operations skills into delivery teams to reduce friction and deliver better outcomes. However where there is a need for significant investment in tooling and automation, we do see a role for a Delivery Engineering team.  Rather than being a helpdesk, these teams build tooling and enable teams to deploy, monitor, and maintain their own production environments.  ",,,,,,,,,,,,,,,,,,,,,
Scala,Adopt,Languages & frameworks,TRUE,cross platform open source functional programming and OO language,,,,,,,,,,,,,,,,,,,,,
Python,Adopt,Languages & frameworks,TRUE,cross platform open source programming language,,,,,,,,,,,,,,,,,,,,,
Spark,Adopt,Languages & frameworks,TRUE,system for distributed data processing,,,,,,,,,,,,,,,,,,,,,
scikit-learn,Adopt,Languages & frameworks,TRUE,python most popular ML library,,,,,,,,,,,,,,,,,,,,,
Neo4j,Adopt,Tools,TRUE,proprietary graph database management system,,,,,,,,,,,,,,,,,,,,,
Solr,Adopt,Tools,TRUE,open source enterprise-search platform from Apache Lucene project,,,,,,,,,,,,,,,,,,,,,
Docker,Adopt,Platforms,TRUE,platform that use OS-level virtualization to deliver software in containers,,,,,,,,,,,,,,,,,,,,,
Jupyter,Adopt,Tools,TRUE,multi language open source notebook web application,,,,,,,,,,,,,,,,,,,,,
Zeppelin,Hold,Tools,TRUE,multi language open source notebook web application,,,,,,,,,,,,,,,,,,,,,
Apache Airflow,Trial,Tools,TRUE,open-source workflow management tool for data-processing pipelines as directed acyclic graphs (DAGs),,,,,,,,,,,,,,,,,,,,,
Amazon EMR,Trial,Platforms,TRUE,managed cluster platform that simplifies running big data frameworks,,,,,,,,,,,,,,,,,,,,,
AWS Step Functions,Trial,Tools,TRUE,serverless orchestration service,,,,,,,,,,,,,,,,,,,,,
Terminator,Adopt,Tools,TRUE,Linux terminal emulator,,,,,,,,,,,,,,,,,,,,,
Bash,Adopt,Languages & frameworks,TRUE,Unix shell and command language,,,,,,,,,,,,,,,,,,,,,
Intellij,Adopt,Tools,TRUE,IDE for scala/java languages,,,,,,,,,,,,,,,,,,,,,
PyCharm,Adopt,Tools,TRUE,IDE for python language,,,,,,,,,,,,,,,,,,,,,
Huggingface,Assess,Languages & frameworks,TRUE,popular AI community to share state of the art models for natural language processing,,,,,,,,,,,,,,,,,,,,,
PyTorch,Assess,Languages & frameworks,TRUE,"open source machine learning library based on the Torch library, used for applications such as computer vision and natural language processing",,,,,,,,,,,,,,,,,,,,,
Tensorflow,Assess,Languages & frameworks,TRUE,open-source software library for machine learning,,,,,,,,,,,,,,,,,,,,,
Apache Superset,Assess,Platforms,TRUE,open-source software cloud-native application for data exploration and data visualization able to handle data at petabyte scale,,,,,,,,,,,,,,,,,,,,,
Apache Griffin,Assess,Platforms,TRUE,open source Data Quality solution for Big Data,,,,,,,,,,,,,,,,,,,,,
Amazon Deequ,Assess,Languages & frameworks,TRUE,"Data Quality solution built on top of Apache Spark to support fast, distributed calculations on large datasets",,,,,,,,,,,,,,,,,,,,,
Great Expectations,Assess,Tools,TRUE,"open source tool to help data teams eliminate pipeline debt, through data testing, documentation, and profiling",,,,,,,,,,,,,,,,,,,,,
DBT ,Assess,Tools,TRUE,command-line tool that enables data analysts and engineers to transform data in their warehouses simply by writing select statements,,,,,,,,,,,,,,,,,,,,,
Apache Akka,Hold,Languages & frameworks,TRUE,"Actor model implementation, very good for heavy stateful designs and event sourcing but it is overused in some cases.",,,,,,,,,,,,,,,,,,,,,
Functional programming,Adopt,Techniques,TRUE,Programming paradign that allows to combine computations as expressions instead as statements,,,,,,,,,,,,,,,,,,,,,
GRPC,Trial,Languages & frameworks,TRUE,Replacement of rest for internal services interaction,,,,,,,,,,,,,,,,,,,,,
OpenAPI,Trial,Languages & frameworks,TRUE,For exposed services,,,,,,,,,,,,,,,,,,,,,
Protobuffers/Avro,Adopt,Languages & frameworks,TRUE,Implementation of schema evolution serialization,,,,,,,,,,,,,,,,,,,,,
ZIO,Trial,Languages & frameworks,TRUE,Pure functional ecosystem that powers up Scala FP capabilities,,,,,,,,,,,,,,,,,,,,,
React Hooks,Trial,Languages & frameworks,TRUE,"More modern approach to state managment, less boilerplate code than Redux",,,,,,,,,,,,,,,,,,,,,
React,Adopt,Languages & frameworks,TRUE,Open source system for UI development,,,,,,,,,,,,,,,,,,,,,
D3,Adopt,Languages & frameworks,TRUE,Open source system for graphs,,,,,,,,,,,,,,,,,,,,,
Redux,Hold,Languages & frameworks,TRUE,Open source system for state managment,,,,,,,,,,,,,,,,,,,,,
Sass css,Adopt,Languages & frameworks,TRUE,CSS stylesheet lenguage,,,,,,,,,,,,,,,,,,,,,
Webpack,Adopt,Languages & frameworks,TRUE,Build tool for creating javascript and css distributions,,,,,,,,,,,,,,,,,,,,,
Typescript,Assess,Languages & frameworks,TRUE,Popular framework for using static types in javascript,,,,,,,,,,,,,,,,,,,,,
Gatlin,Adopt,Languages & frameworks,TRUE,Open source Scala performance testing framework,,,,,,,,,,,,,,,,,,,,,
Scala 3,Adopt,Languages & frameworks,TRUE,JVM language that mixes OO and FP paradigms ,,,,,,,,,,,,,,,,,,,,,
Play,Hold,Languages & frameworks,TRUE,Strict framework based on run time dependency injection as Spring,,,,,,,,,,,,,,,,,,,,,
MVC,Hold,Languages & frameworks,TRUE,Architectural pattern where viewes are rendered in server side,,,,,,,,,,,,,,,,,,,,,
EKS,Trial,Platforms,TRUE,Provides a easy was to manage Kubernetes administration,,,,,,,,,,,,,,,,,,,,,
AWS Neptune,Assess,Platforms,TRUE,AWS Graph db service,,,,,,,,,,,,,,,,,,,,,
AWS DocumentDB,Assess,Platforms,TRUE,AWS document db service,,,,,,,,,,,,,,,,,,,,,
